eurostat,life_expectancy
AL,78.9
AL0,78.9
AT,81.8
AT1,81.0
AT11,81.5
AT12,81.5
AT13,80.6
AT2,82.0
AT21,81.6
AT22,82.2
AT3,82.6
AT31,82.2
AT32,82.9
AT33,83.0
AT34,82.9
BE,81.7
BE1,81.5
BE10,81.5
BE2,82.6
BE21,82.5
BE22,83.1
BE23,82.3
BE24,83.0
BE25,82.6
BE3,80.0
BE31,82.7
BE32,79.1
BE33,80.0
BE34,80.6
BE35,79.9
BG,75.0
BG3,74.3
BG31,73.6
BG32,74.4
BG33,74.7
BG34,74.4
BG4,75.7
BG41,75.9
BG42,75.5
CH,83.8
CH0,83.8
CH01,84.2
CH011,84.2
CH012,84.2
CH013,84.2
CH02,83.3
CH021,83.3
CH022,83.3
CH023,83.3
CH024,83.3
CH025,83.3
CH03,83.9
CH031,83.9
CH032,83.9
CH033,83.9
CH04,84.0
CH05,83.6
CH051,83.6
CH052,83.6
CH053,83.6
CH054,83.6
CH055,83.6
CH056,83.6
CH057,83.6
CH06,84.0
CH061,84.0
CH062,84.0
CH063,84.0
CH064,84.0
CH065,84.0
CH066,84.0
CH07,85.2
CY,82.9
CY0,82.9
CY00,82.9
CZ,79.1
CZ0,79.1
CZ01,80.8
CZ02,79.0
CZ03,79.2
CZ031,79.2
CZ032,79.2
CZ04,77.2
CZ041,77.2
CZ042,77.2
CZ05,79.4
CZ051,79.4
CZ052,79.4
CZ053,79.4
CZ06,79.7
CZ063,79.7
CZ064,79.7
CZ07,79.1
CZ071,79.1
CZ072,79.1
CZ08,78.0
DE,81.0
DE1,82.2
DE11,82.3
DE12,81.7
DE13,82.2
DE14,82.5
DE2,81.8
DE21,82.7
DE22,81.1
DE23,80.9
DE24,80.6
DE25,81.0
DE26,81.6
DE27,82.1
DE3,80.8
DE30,80.8
DE4,80.7
DE40,80.7
DE5,79.7
DE50,79.7
DE6,81.1
DE60,81.1
DE7,81.4
DE71,81.8
DE72,80.9
DE73,80.8
DE8,79.9
DE80,79.9
DE9,80.5
DE91,80.3
DE92,80.5
DE93,80.6
DE94,80.5
DEA,80.5
DEA1,80.3
DEA2,80.9
DEA3,80.8
DEA4,81.1
DEA5,80.0
DEB,80.9
DEB1,80.7
DEB2,80.9
DEB3,81.0
DEC,79.7
DEC0,79.7
DED,80.9
DED2,81.5
DED4,80.5
DED5,80.6
DEE,79.4
DEE0,79.4
DEF,80.4
DEF0,80.4
DEG,80.3
DEG0,80.3
DK,81.0
DK0,81.0
DK01,81.1
DK02,80.4
DK03,81.1
DK04,81.3
DK05,80.8
EE,78.5
EE0,78.5
EE00,78.5
EL,81.9
EL3,81.3
EL30,81.3
EL4,82.7
EL41,82.9
EL42,82.7
EL43,82.6
EL5,82.1
EL51,81.4
EL52,81.9
EL53,83.0
EL54,83.6
EL6,82.1
EL61,82.6
EL62,81.3
EL63,81.7
EL64,82.3
EL65,82.1
ES,83.5
ES1,83.4
ES11,83.5
ES12,82.9
ES13,83.6
ES2,84.1
ES21,84.1
ES22,84.4
ES23,83.9
ES24,83.8
ES3,85.5
ES30,85.5
ES4,83.9
ES41,84.3
ES42,83.8
ES43,82.8
ES5,83.4
ES51,83.7
ES52,82.9
ES53,83.6
ES6,82.2
ES61,82.1
ES62,83.0
ES63,81.5
ES64,80.7
ES7,82.6
ES70,82.6
FI,81.8
FI1,81.8
FI19,82.0
FI1B,82.5
FI1C,81.5
FI1D,81.1
FI2,83.4
FI20,83.4
FR,82.9
FR1,84.5
FR10,84.5
FRB,82.8
FRB0,82.8
FRC,82.4
FRC1,82.3
FRC2,82.5
FRD,82.1
FRD1,82.4
FRD2,81.7
FRE,80.8
FRE1,80.6
FRE2,81.2
FRF,82.1
FRF1,82.7
FRF2,81.6
FRF3,82.0
FRG,83.3
FRG0,83.3
FRH,82.2
FRH0,82.2
FRI,83.0
FRI1,83.3
FRI2,82.5
FRI3,82.7
FRJ,83.2
FRJ1,82.7
FRJ2,83.7
FRK,83.8
FRK1,82.5
FRK2,84.1
FRL,83.3
FRL0,83.3
FRM,84.3
FRM0,84.3
FRY,81.8
FRY4,81.3
FRY5,76.2
HR,78.2
HR0,78.2
HR03,79.4
HR04,77.6
HU,76.2
HU1,77.6
HU11,78.4
HU12,76.4
HU2,76.2
HU21,75.9
HU22,76.7
HU23,75.9
HU3,75.4
HU31,74.4
HU32,75.5
HU33,76.2
IE,82.3
IE0,82.3
IE04,82.6
IE05,81.8
IE06,82.6
IS,82.9
IS0,82.9
IS00,82.9
IT,83.4
ITC,83.6
ITC1,83.0
ITC2,82.3
ITC3,83.1
ITC4,84.0
ITF,82.8
ITF1,83.6
ITF2,83.3
ITF3,81.9
ITF4,83.6
ITF5,83.1
ITF6,83.0
ITG,82.7
ITG1,82.3
ITG2,83.8
ITH,84.0
ITH1,84.4
ITH2,84.6
ITH3,84.0
ITH4,83.5
ITH5,83.9
ITI,83.9
ITI1,84.0
ITI2,84.3
ITI3,84.4
ITI4,83.6
LI,83.1
LI0,83.1
LI00,83.1
LT,76.0
LT0,76.0
LT01,76.3
LT02,75.9
LU,82.3
LU0,82.3
LU00,82.3
LV,75.1
LV0,75.1
LV00,75.1
ME,76.9
ME0,76.9
ME00,76.9
MK,76.7
MK0,76.7
MK00,76.7
MT,82.5
MT0,82.5
MT00,82.5
NL,81.9
NL1,81.4
NL11,81.0
NL12,81.7
NL13,81.6
NL2,81.8
NL21,81.7
NL22,81.8
NL23,81.9
NL3,82.0
NL31,82.4
NL32,82.1
NL33,81.9
NL34,82.1
NL4,81.8
NL41,81.9
NL42,81.8
NO,82.8
NO0,82.8
NO01,83.4
NO02,81.7
NO03,82.6
NO04,82.4
NO041,82.4
NO042,82.4
NO043,82.4
NO05,83.4
NO06,83.0
NO07,82.2
NO53,83.0
PL,77.7
PL2,78.0
PL21,79.1
PL22,77.2
PL4,77.4
PL41,77.6
PL42,77.3
PL43,76.9
PL5,77.4
PL51,77.2
PL52,78.0
PL6,77.5
PL61,77.2
PL62,76.9
PL63,78.2
PL7,76.8
PL71,76.3
PL72,77.7
PL8,78.5
PL81,77.8
PL82,79.4
PL84,78.2
PL9,78.0
PL91,79.1
PL92,76.8
PT,81.5
PT1,81.7
PT11,82.0
PT15,80.3
PT16,81.8
PT17,81.7
PT18,80.8
PT2,78.1
PT20,78.1
PT3,78.7
PT30,78.7
RO,75.3
RO1,75.4
RO11,75.2
RO12,75.8
RO2,74.2
RO21,74.1
RO22,74.5
RO3,76.0
RO31,75.3
RO32,76.9
RO4,75.8
RO41,76.1
RO42,75.4
RS,75.9
RS1,76.0
RS11,77.0
RS12,75.2
RS2,75.8
RS21,76.3
RS22,75.3
SE,82.6
SE1,82.8
SE11,83.0
SE110,83.0
SE12,82.5
SE121,82.5
SE122,82.5
SE123,82.5
SE124,82.5
SE125,82.5
SE2,82.6
SE21,82.8
SE211,82.8
SE212,82.8
SE213,82.8
SE214,82.8
SE22,82.5
SE221,82.5
SE222,82.5
SE223,82.5
SE224,82.5
SE23,82.7
SE231,82.7
SE232,82.7
SE3,82.0
SE31,82.2
SE311,82.2
SE312,82.2
SE313,82.2
SE32,82.0
SE321,82.0
SE33,81.7
SE331,81.7
SE332,81.7
SI,81.5
SI0,81.5
SI03,80.5
SI04,82.7
SK,77.4
SK0,77.4
SK01,78.8
SK02,77.4
SK03,77.1
SK04,77.2
TR,78.9
TR1,79.4
TR10,79.4
TR2,78.1
TR21,77.8
TR22,78.3
TR3,78.9
TR31,79.2
TR32,79.6
TR33,77.7
TR4,78.4
TR41,78.4
TR42,78.5
TR5,79.4
TR51,79.6
TR52,78.8
TR6,79.1
TR61,79.7
TR62,78.7
TR63,79.1
TR7,78.7
TR71,78.7
TR72,78.7
TR8,78.7
TR81,78.2
TR82,78.7
TR83,78.9
TR9,80.6
TR90,80.6
TRA,78.4
TRA1,78.8
TRA2,78.0
TRB,79.3
TRB1,80.1
TRB2,78.4
TRC,79.1
TRC1,78.1
TRC2,79.4
UK,81.3
UKC,79.8
UKC1,79.8
UKC2,79.9
UKD,80.3
UKD1,81.6
UKD3,80.0
UKD4,79.9
UKD6,81.9
UKD7,79.6
UKE,80.6
UKE1,80.8
UKE2,82.3
UKE3,80.2
UKE4,80.1
UKF,81.2
UKF1,80.9
UKF2,81.5
UKF3,81.0
UKG,80.8
UKG1,81.9
UKG2,80.9
UKG3,80.2
UKH,82.2
UKH1,82.3
UKH2,82.3
UKH3,81.8
UKI,82.9
UKI3,84.7
UKI4,82.0
UKI5,82.4
UKI6,82.7
UKI7,83.4
UKJ,82.6
UKJ1,83.2
UKJ2,82.9
UKJ3,82.5
UKJ4,81.6
UKK,82.2
UKK1,82.3
UKK2,82.4
UKK3,81.4
UKK4,81.9
UKL,80.4
UKL1,80.0
UKL2,81.0
UKM,79.3
UKM5,80.3
UKM6,80.0
UKM7,79.9
UKM8,77.9
UKM9,79.2
UKN,80.9
UKN0,80.9
