eurostat,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_over
TR333,67760,77020,87002,84897,80317,75682,58491,32303,14469
TR334,46054,51361,54025,55824,51890,46080,34107,18845,9328
TR4,1148725,1135980,1211169,1311962,1152740,920468,632629,315147,139315
TR41,571219,562529,609454,673132,601165,491454,336078,169487,74638
TR411,438774,422116,431023,503146,443794,351915,237978,115941,49834
TR412,104623,111290,139103,135478,127078,112636,79002,42890,19087
TR413,27822,29123,39328,34508,30293,26903,19098,10656,5717
TR42,577506,573451,601715,638830,551575,429014,296551,145660,64677
TR421,305438,283933,297680,339908,275559,197207,125289,57506,23871
TR422,146586,153079,153295,156190,142401,116884,83207,40833,18225
TR423,53691,58105,61704,58987,54285,45347,32172,16096,7457
TR424,36649,42413,50801,44938,42410,36882,30577,17856,9284
TR425,35142,35921,38235,38807,36920,32694,25306,13369,5840
TR5,1167926,1195275,1248814,1286090,1133569,908222,592809,294622,134180
TR51,777330,785944,869071,921424,816647,644171,405945,194511,88942
TR510,777330,785944,869071,921424,816647,644171,405945,194511,88942
TR52,390596,409331,379743,364666,316922,264051,186864,100111,45238
TR521,353408,369111,341072,327539,283548,236288,166971,88607,39065
TR522,37188,40220,38671,37127,33374,27763,19893,11504,6173
TR6,1712062,1693035,1504834,1618269,1461633,1159305,767741,374599,169931
TR61,437859,445820,459451,508007,475255,376485,250012,125925,58880
TR611,354478,344486,344966,411723,380372,287851,179028,86367,37085
TR612,53276,64867,71698,61157,58976,53671,42844,22852,12071
TR613,30105,36467,42787,35127,35907,34963,28140,16706,9724
TR62,659749,648900,577472,619531,563024,455673,304946,144749,60549
TR621,375006,364933,320583,345399,304381,241505,163587,74330,30401
TR622,284743,283967,256889,274132,258643,214168,141359,70419,30148
TR63,614454,598315,467911,490731,423354,327147,212783,103925,50502
TR631,304026,287472,227919,239136,209944,167204,103935,45454,24766
TR632,216317,215567,165022,173017,142695,103523,70590,40138,17982
TR633,94111,95276,74970,78578,70715,56420,38258,18333,7754
TR7,603573,657614,624113,595298,528376,452799,334012,188030,81142
TR71,233975,258354,248653,230108,209014,183967,132580,74574,32463
TR711,35069,44091,45311,39025,37881,37316,27072,14730,6107
TR712,68874,70642,64244,62096,53030,40817,29417,16272,6780
TR713,56780,62382,57328,51502,47182,39484,26918,16029,7102
TR714,41648,45268,44041,43938,39472,35357,26207,15455,6953
TR715,31604,35971,37729,33547,31449,30993,22966,12088,5521
TR72,369598,399260,375460,365190,319362,268832,201432,113456,48679
TR721,224262,229983,207737,219356,188380,146243,99087,52317,22315
TR722,87752,100872,105391,88452,78779,71883,60774,36744,15961
TR723,57584,68405,62332,57382,52203,50706,41571,24395,10403
TR8,573702,659298,673871,657086,627311,604786,489373,276303,126802
TR81,117180,141715,152430,152530,149257,139919,112523,55761,25396
TR811,68932,81140,80542,91095,87544,82256,64770,29924,13495
TR812,26477,34765,43791,32779,33719,31035,24905,14046,6497
TR813,21771,25810,28097,28656,27994,26628,22848,11791,5404
TR82,90249,103568,117351,107385,99719,108977,100648,62124,29447
TR821,40316,48164,54803,50829,46693,50438,48430,29809,13891
TR822,25854,28058,33070,28386,27090,28820,24159,14298,6627
TR823,24079,27346,29478,28170,25936,29719,28059,18017,8929
TR83,366273,414015,404090,397171,378335,355890,276202,158418,71959
TR831,178547,198366,193600,194187,183806,169360,122715,65449,29686
TR832,77673,92887,90447,81687,79063,76130,62919,36490,15350
TR833,69444,76348,70648,74039,71728,66752,56205,34892,16427
TR834,40609,46414,49395,47258,43738,43648,34363,21587,10496
TR9,329918,373743,398142,372771,364197,359916,278503,154205,87718
TR90,329918,373743,398142,372771,364197,359916,278503,154205,87718
TR901,105560,114735,120707,115913,107966,102315,76643,40846,23218
TR902,95729,107477,104369,105470,105739,103380,80612,45428,23728
TR903,48375,59218,63732,57812,57958,64777,53767,28977,19296
TR904,42026,47650,51094,48366,50227,47244,33063,18891,10047
TR905,18799,21215,25485,23206,23154,23540,20011,12020,6580
TR906,19429,23448,32755,22004,19153,18660,14407,8043,4849
TRA,412887,419662,407259,300158,236111,184309,134710,79299,36659
TRA1,174702,188422,198080,151208,126001,101985,76843,46731,22184
TRA11,132858,141745,136995,107840,87781,68098,49180,29902,13449
TRA12,30497,33334,45031,32566,28814,25574,21031,12601,6586
TRA13,11347,13343,16054,10802,9406,8313,6632,4228,2149
TRA2,238185,231240,209179,148950,110110,82324,57867,32568,14475
TRA21,131137,123243,102493,68458,45776,32026,21428,10698,4398
TRA22,52789,53943,54297,39233,31490,24695,16929,10676,4826
TRA23,40557,38616,35524,27845,20766,15300,10895,5247,2706
TRA24,13702,15438,16865,13414,12078,10303,8615,5947,2545
TRB,759269,766727,727197,565574,422269,313865,210412,110827,53579
TRB1,270169,283305,291030,266947,230147,181903,129295,72145,37136
TRB11,121450,130726,119237,120054,107435,85232,60834,35026,17042
TRB12,88645,95313,96003,89745,79683,64734,44809,24168,12538
TRB13,51177,49650,55425,43561,31779,22234,15216,8160,4003
TRB14,8897,7616,20365,13587,11250,9703,8436,4791,3553
TRB2,489100,483422,436167,298627,192122,131962,81117,38682,16443
TRB21,262183,252028,215492,158192,99946,69290,40334,18912,7407
TRB22,95897,95022,73611,52624,36104,25232,17385,8424,3693
TRB23,77532,75645,68463,46817,32406,22576,15028,7561,3368
TRB24,53488,60727,78601,40994,23666,14864,8370,3785,1975
TRC,2108757,1872960,1548374,1246792,873201,576284,345799,186514,89299
TRC1,603991,542701,446000,420491,320691,219774,136529,73299,32141
TRC11,453121,397651,322005,309155,231568,155162,92420,47923,19558
TRC12,123280,118671,98313,92160,73597,52005,36008,20401,10078
TRC13,27590,26379,25682,19176,15526,12607,8101,4975,2505
TRC2,967955,813831,655198,519004,348648,230044,131396,69377,32752
TRC21,570067,456380,342612,261993,171997,117552,66096,33778,15334
TRC22,397888,357451,312586,257011,176651,112492,65300,35599,17418
TRC3,536811,516428,447176,307297,203862,126466,77874,43838,24406
TRC31,192582,179988,149583,114706,80522,50219,31131,19037,11427
TRC32,138270,135926,110516,84445,57290,34840,20912,11148,5756
TRC33,129677,123907,119375,65828,38589,22612,13404,6928,3870
TRC34,76282,76607,67702,42318,27461,18795,12427,6725,3353
,0,0,0,0,0,0,0,0,0
Special value:,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0
