eurostat,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_over
UKG37,47760,41776,42724,47864,42090,41363,29261,22155,13781
UKG38,38955,35455,35749,37681,34612,36511,27748,22740,14212
UKG39,36122,30822,35501,36287,33289,33296,24906,19024,12995
UKH,766625,704659,715042,801441,808117,856214,679530,559914,343868
UKH1,290666,275112,293444,305510,309101,345280,296288,253272,153003
UKH11,31352,23759,24767,31477,26460,24493,18273,13014,8204
UKH12,77403,74722,83273,82436,86219,88956,70131,56485,33787
UKH14,85188,82496,81064,88440,91232,106910,94053,81522,49567
UKH15,40102,40030,53914,45761,43301,48275,41426,36082,21931
UKH16,25899,24709,23593,26081,27956,36995,37271,34364,20670
UKH17,30722,29396,26833,31315,33933,39651,35134,31805,18844
UKH2,250593,221531,213289,264285,257372,254393,182085,137854,90445
UKH21,34789,28452,30156,36240,27309,24838,16829,11337,8095
UKH23,156301,140576,134098,165214,167573,164420,116420,89332,60700
UKH24,23043,20841,18760,23161,23377,23900,17871,13541,8743
UKH25,36460,31662,30275,39670,39113,41235,30965,23644,12907
UKH3,225366,208016,208309,231646,241644,256541,201157,168788,100420
UKH31,22828,20301,19899,24451,25255,25353,19069,15974,10323
UKH32,25938,21576,20631,26349,24656,22157,15214,11033,5851
UKH34,56604,54354,59714,57248,60392,67423,57359,50715,28705
UKH35,40028,35095,33077,39901,41528,44362,32575,25390,16566
UKH36,36326,35601,34111,39132,42900,46079,35988,30362,18646
UKH37,43642,41089,40877,44565,46913,51167,40952,35314,20329
UKI,1217841,1002596,1351159,1646110,1256315,1055315,695760,461358,295802
UKI3,137956,113891,207791,241457,168516,132545,89470,61959,36928
UKI31,30274,29275,52064,49673,35897,28872,20482,14678,8801
UKI32,27742,24880,40522,51116,37064,29409,20358,13465,8581
UKI33,38589,31819,54669,62480,50564,42012,28220,20206,11350
UKI34,41351,27917,60536,78188,44991,32252,20410,13610,8196
UKI4,317827,255889,457403,532150,327601,254993,149459,84350,51218
UKI41,92824,72529,112800,145492,83536,62395,37375,20098,11810
UKI42,43171,35230,69003,76258,41285,25703,15892,8188,5091
