eurostat,gdp,gdp_per_capita
PT20,5029136400,20650
PT3,5771214800,22656
PT30,5771214800,22656
RO,241475766400,12390
RO1,56599809200,11564
RO11,29438887800,11564
RO12,27160909600,11682
RO2,49826833400,8850
RO21,25106635800,7788
RO22,24720174000,10266
RO3,94160318400,17936
RO31,28256598600,9558
RO32,65903708000,28556
RO4,40682470600,10974
RO41,18017844800,9322
RO42,22664637600,12744
SE,556025322000,54634
SE1,252644159600,62776
SE11,171877537400,73868
SE110,171877537400,73868
SE12,80766622200,47554
SE121,,47554
SE122,,47554
SE123,,47554
SE124,,47554
SE125,,47554
SE2,220370628600,50032
SE21,41195204200,47790
SE211,,47790
SE212,,47790
SE213,,47790
SE214,,47790
SE22,70301756800,46492
SE221,,46492
SE222,,46492
SE223,,46492
SE224,,46492
SE23,108873667600,53690
SE231,,53690
SE232,,53690
SE3,82889312400,47318
SE31,37855745200,44368
SE311,,44368
SE312,,44368
SE313,,44368
SE32,17768982800,47200
SE321,17768982800,47200
SE33,27264584400,52392
SE331,,52392
SE332,,52392
SI,53990687600,26078
SI0,53990687600,26078
SK,105870732800,19470
SK0,105870732800,19470
SK01,30030504400,45784
SK02,32421219800,17700
SK03,20716398600,15458
SK04,22702610000,13924
UK,2860009176200,43070
UKC,81863408600,30798
UKC1,33819177600,28202
UKC2,48044231000,32922
UKD,274464424600,37642
UKD1,17906830400,35872
UKD3,106414488600,37878
UKD4,51111617400,34102
UKD6,48675094400,52274
UKD7,50356393800,32450
UKE,185229992600,33748
UKE1,30312736800,32568
UKE2,31042496000,37642
UKE3,40933952200,29146
UKE4,82942318000,35754
UKF,163283267000,33984
UKF1,72467941800,32804
UKF2,68368102600,37170
UKF3,22445724000,29736
UKG,211892434800,35872
UKG1,55431739000,40946
UKG2,52040678600,31978
UKG3,104418518600,35754
UKH,246619693200,39766
UKH1,96286277200,38232
UKH2,86396307800,46610
UKH3,63935609600,34928
UKI,674732165600,75756
UKJ,415462317800,45430
UKJ1,141685691600,58882
UKJ2,125229399800,43306
UKJ3,84986243200,42834
UKJ4,63560983200,34456
UKK,208859516200,37288
UKK1,109750112600,43778
UKK2,44999323600,33748
UKK3,16423334400,28910
UKK4,37686745600,31506
UKL,97534504800,31034
UKL1,53386315200,27140
UKL2,44148189600,37760
UKM,212965349800,39176
UKM5,27324764400,55932
UKM6,18255968800,38940
UKN,63237321000,33630
UKN0,63237321000,33630
