iso_code,region_code
ARA,REG-84
BFC,REG-27
BRE,REG-53
COR,REG-94
CVL,REG-24
GES,REG-44
GF,DEP-973
GUA,DEP-971
HDF,REG-32
IDF,REG-11
LRE,DEP-974
MAY,DEP-976
MQ,DEP-972
NAQ,REG-75
NOR,REG-28
OCC,REG-76
PAC,REG-93
PDL,REG-52
