google_location_key,key
AU,AU
AU_ACT,AU_ACT
AU_NSW,AU_NSW
AU_NT,AU_NT
AU_QLD,AU_QLD
AU_SA,AU_SA
AU_TAS,AU_TAS
AU_VIC,AU_VIC
AU_WA,AU_WA
GB,GB
GB_ABC,
GB_ABD,
GB_ABE,
GB_AGB,
GB_AGY,
GB_AND,
GB_ANN,
GB_ANS,
GB_BAS,
GB_BBD,
GB_BDF,
GB_BFS,
GB_BGE,
GB_BGW,
GB_BKM,
GB_BNH,
GB_BPL,
GB_BRC,
GB_BST,
GB_CAM,
GB_CAY,
GB_CBF,
GB_CCG,
GB_CGN,
GB_CHE,
GB_CHW,
GB_CLK,
GB_CMA,
GB_CMN,
GB_CON,
GB_CRF,
GB_CWY,
GB_DAL,
GB_DBY,
GB_DEN,
GB_DER,
GB_DEV,
GB_DGY,
GB_DND,
GB_DOR,
GB_DRS,
GB_DUR,
GB_EAY,
GB_EDH,
GB_EDU,
GB_ELN,
GB_ERW,
GB_ERY,
GB_ESS,
GB_ESX,
GB_FAL,
GB_FIF,
GB_FLN,
GB_FMO,
GB_GLG,
GB_GLS,
GB_GWN,
GB_HAL,
GB_HAM,
GB_HEF,
GB_HLD,
GB_HPL,
GB_HRT,
GB_IOW
GB_IVC,
GB_KEN,
GB_KHL,
GB_LAN,
GB_LBC,
GB_LCE,
GB_LEC,
GB_LIN,
GB_LUT,
GB_MDB,
GB_MDW,
GB_MEA,
GB_MIK,
GB_MLN,
GB_MON,
GB_MRY,
GB_MTY,
GB_MUL,
GB_NAY,
GB_NBL,
GB_NEL,
GB_NFK,
GB_NGM,
GB_NLK,
GB_NLN,
GB_NMD,
GB_NSM,
GB_NTH,
GB_NTL,
GB_NTT,
GB_NWP,
GB_NYK,
GB_ORK,
GB_OXF,
GB_PEM,
GB_PKN,
GB_PLY,
GB_POR,
GB_POW,
GB_PTE,
GB_RCC,
GB_RCT,
GB_RDG,
GB_RFW,
GB_RUT,
GB_SAY,
GB_SCB,
GB_SFK,
GB_SGC,
GB_SHR,
GB_SLG,
GB_SLK,
GB_SOM,
GB_SOS,
GB_SRY,
GB_STE,
GB_STG,
GB_STH,
GB_STS,
GB_STT,
GB_SWA,
GB_SWD,
GB_THR,
GB_TOB,
GB_TOF,
GB_VGL,
GB_WAR,
GB_WBK,
GB_WDU,
GB_WIL,
GB_WLN,
GB_WNM,
GB_WOK,
GB_WOR,
GB_WRT,
GB_WRX,
GB_WSX,
GB_YOR,
GB_ZET,
IE,IE
IE_CE,
IE_CN,
IE_CO,
IE_CW,
IE_D,
IE_DL,
IE_G,
IE_KE,
IE_KK,
IE_KY,
IE_LD,
IE_LH,
IE_LK,
IE_LM,
IE_LS,
IE_MH,
IE_MN,
IE_MO,
IE_OY,
IE_RN,
IE_SO,
IE_TA,
IE_WD,
IE_WH,
IE_WW,
IE_WX,
NZ,NZ
NZ_AUK,
NZ_BOP,
NZ_CAN,
NZ_GIS,
NZ_HKB,
NZ_MBH,
NZ_MWT,
NZ_NSN,
NZ_NTL,
NZ_OTA,
NZ_STL,
NZ_TAS,
NZ_TKI,
NZ_WGN,
NZ_WKO,
NZ_WTC,
SG,SG
US,US
US_AL,US_AL
US_AL_01001,US_AL_01001
US_AL_01003,US_AL_01003
US_AL_01005,US_AL_01005
US_AL_01007,US_AL_01007
US_AL_01009,US_AL_01009
US_AL_01011,US_AL_01011
US_AL_01013,US_AL_01013
US_AL_01015,US_AL_01015
US_AL_01017,US_AL_01017
US_AL_01019,US_AL_01019
