subregion1_code,subregion1_name,province_code,province_name
AMA,Amazonas,01,Chachapoyas
AMA,Amazonas,02,Bagua
AMA,Amazonas,03,Bongará
AMA,Amazonas,04,Condorcanqui
AMA,Amazonas,05,Luya
AMA,Amazonas,06,Rodríguez de Mendoza
AMA,Amazonas,07,Utcubamba
ANC,Áncash,01,Huaraz
ANC,Áncash,02,Aija
ANC,Áncash,03,Antonio Raymondi
ANC,Áncash,04,Asunción
ANC,Áncash,05,Bolognesi
ANC,Áncash,06,Carhuaz
ANC,Áncash,07,Carlos Fermín Fitzcarrald
ANC,Áncash,08,Casma
ANC,Áncash,09,Corongo
ANC,Áncash,10,Huari
ANC,Áncash,11,Huarmey
ANC,Áncash,12,Huaylas
ANC,Áncash,13,Mariscal Luzuriaga
ANC,Áncash,14,Ocros
ANC,Áncash,15,Pallasca
ANC,Áncash,16,Pomabamba
ANC,Áncash,17,Recuay
ANC,Áncash,18,Santa
ANC,Áncash,19,Sihuas
ANC,Áncash,20,Yungay
APU,Apurímac,01,Abancay
APU,Apurímac,02,Andahuaylas
APU,Apurímac,03,Antabamba
APU,Apurímac,04,Aymaraes
APU,Apurímac,05,Cotabambas
APU,Apurímac,06,Chincheros
APU,Apurímac,07,Grau
ARE,Arequipa,01,Arequipa
ARE,Arequipa,02,Camaná
ARE,Arequipa,03,Caravelí
ARE,Arequipa,04,Castilla
ARE,Arequipa,05,Caylloma
ARE,Arequipa,06,Condesuyos
ARE,Arequipa,07,Islay
ARE,Arequipa,08,La Uniòn
AYA,Ayacucho,01,Huamanga
AYA,Ayacucho,02,Cangallo
AYA,Ayacucho,03,Huanca Sancos
AYA,Ayacucho,04,Huanta
AYA,Ayacucho,05,La Mar
AYA,Ayacucho,06,Lucanas
AYA,Ayacucho,07,Parinacochas
AYA,Ayacucho,08,Pàucar del Sara Sara
AYA,Ayacucho,09,Sucre
AYA,Ayacucho,10,Víctor Fajardo
AYA,Ayacucho,11,Vilcas Huamán
CAJ,Cajamarca,01,Cajamarca
CAJ,Cajamarca,02,Cajabamba
CAJ,Cajamarca,03,Celendín
CAJ,Cajamarca,04,Chota
CAJ,Cajamarca,05,Contumazá
CAJ,Cajamarca,06,Cutervo
CAJ,Cajamarca,07,Hualgayoc
CAJ,Cajamarca,08,Jaén
CAJ,Cajamarca,09,San Ignacio
CAJ,Cajamarca,10,San Marcos
CAJ,Cajamarca,11,San Miguel
CAJ,Cajamarca,12,San Pablo
CAJ,Cajamarca,13,Santa Cruz
CAL,Callao,01,Prov. Const. del Callao
