key,all,male,female,age_00_09,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_and_older
AD,114205,58625,55581,9370,12022,10727,12394,21001,20720,14433,8657,4881
AE,9315055,6651618,2663438,870683,786876,1841983,2722996,1907265,889205,225625,58028,12394
AF,30316366,16885592,13430774,8404240,7706599,5461114,3607808,2379338,1464078,834370,376098,82721
AG,96915,46550,50365,14866,15204,15534,13571,12402,13530,7304,2961,1544
AI,15122,7151,7971,2196,2146,2005,2081,2187,2214,1351,641,301
AL,2807601,1398500,1409101,323119,332447,447278,388292,351388,378505,321702,178556,86313
AM,2788727,1333386,1455341,371410,351143,388953,477628,334979,344352,308327,118254,93681
AO,36451106,17224135,19226971,11642031,8844588,6029123,4218526,2688029,1630711,949079,349500,99519
AQ,,,,,,,,,,,,
AR,45259538,21929251,23330286,7368579,7169523,6837210,6457628,5821426,4413065,3597892,2304590,1289624
AR_A,1378224,674283,703941,269344,267340,213081,189519,160775,115310,86207,51589,25059
AR_B,18036413,8737209,9299204,2885944,2727065,2698575,2581241,2379297,1796994,1483971,950699,532627
AR_B_014,12062,5918,6144,1797,1804,1301,1510,1703,1253,1270,890,533
AR_B_042,21129,10543,10586,3432,3033,2672,2668,2834,2167,2068,1376,879
AR_B_056,314282,150534,163748,41579,41561,51242,42639,41484,33172,29595,20714,12296
AR_B_063,45860,22485,23375,6484,6419,5780,5881,6274,5187,4902,3115,1818
AR_B_084,21216,10409,10807,3161,3173,2291,2656,2995,2205,2234,1565,937
AR_B_182,62122,30376,31746,10169,9244,8574,9245,7802,6265,5504,3232,2087
AR_B_189,15092,7462,7630,1932,2160,1699,1928,2121,1838,1657,1113,644
AR_B_203,39808,19166,20643,5151,5432,5008,5316,5831,4702,3792,2952,1624
AR_B_280,45044,21675,23369,7515,6673,5948,5730,6207,4720,3979,2544,1729
AR_B_322,10570,5274,5296,1615,1613,1261,1406,1385,1153,1067,704,365
AR_B_357,671438,317574,353864,90871,90824,92369,91263,92643,73177,64444,47458,28389
AR_B_448,10835,5407,5428,1656,1654,1293,1441,1420,1182,1094,722,374
AR_B_476,18333,8984,9349,2592,2567,2311,2351,2508,2072,1958,1246,728
AR_B_518,25097,12869,12228,3563,3493,3278,3090,3319,2779,2807,1980,788
AR_B_553,6839,3381,3457,875,979,770,874,961,833,751,504,292
AR_B_581,95888,44974,50913,13554,13554,12165,12357,13091,10458,9685,6825,4199
AR_B_602,35450,17291,18159,5367,5549,4713,4908,5197,3519,2957,2163,1077
AR_B_651,15043,7516,7527,2130,2282,1883,1984,2013,1635,1482,1070,564
AR_B_700,22100,10517,11583,3024,3058,2613,3079,3013,2492,1934,1880,1008
AR_B_742,8726,4280,4446,1300,1305,942,1092,1232,907,919,644,386
AR_B_791,144046,69419,74627,19662,19408,21674,19732,19849,15122,13789,8724,6087
AR_B_819,13830,6834,6997,1771,1977,1562,1769,1945,1683,1513,1020,590
AR_B_833,56228,27290,28938,8117,7902,6058,7420,8097,5492,6379,4291,2471
AR_B_840,346709,164160,182549,44060,43514,49778,50207,46024,39512,33580,25462,14572
AR_B_861,270561,125143,145418,28571,27069,36661,38406,37454,32167,31098,22828,16307
AR_B_875,35267,17619,17647,4996,5350,4417,4652,4720,3831,3473,2506,1322
AR_C,3027777,1384102,1643675,322659,296862,459247,470627,411129,341800,319523,233654,172275
AR_C_002,150597,68744,81853,15857,14563,22850,23456,20462,17046,15977,11709,8676
AR_C_006,175380,80056,95324,18466,16959,26611,27317,23830,19851,18606,13636,10104
AR_C_014,228261,104195,124066,24034,22073,34635,35553,31015,25836,24217,17748,13151
AR_D,520463,256987,263476,90767,89806,73671,75197,67510,49675,40131,23030,10675
AR_E,1331096,648493,682603,216968,218485,193634,183327,169499,131863,108682,70813,37825
AR_F,394138,193783,200355,69140,71177,64997,58193,49011,34389,24683,14921,7626
AR_G,955187,468955,486232,189939,189371,140086,128142,106912,80429,62428,37928,19950
AR_H,1141196,562632,578564,213786,228274,177189,151087,137510,101533,69103,43833,18881
AR_J,762137,370621,391516,143195,132451,112134,104811,90660,70136,59104,32745,16901
AR_K,411340,201787,209553,75437,76396,60702,58107,49087,36458,28577,16825,9750
AR_L,346284,171164,175120,54561,52362,49335,47506,46846,34844,31316,19641,9873
AR_M,1937561,938289,999272,325919,306097,299465,271292,232543,185766,161916,101059,53503
AR_N,1281344,634146,647197,265373,263627,189865,167700,155643,106798,71617,41976,18744
AR_P,571734,282129,289606,108463,121003,81524,74154,70303,51451,34028,20647,10161
AR_Q,659818,325570,334247,111829,110635,103404,105783,92797,61680,42459,20992,10238
AR_R,742448,366352,376096,120004,123146,110630,109055,102702,73170,55130,31958,16654
AR_S,3425976,1650345,1775631,504371,506301,527425,483799,440487,345175,293734,204302,120381
AR_T,1584659,768899,815760,280678,278626,249429,224249,186941,152187,111162,67660,33727
AR_U,650632,323776,326857,112012,106944,103237,100964,87464,61122,43262,22993,12634
AR_V,154839,79053,75785,27981,26091,26029,24731,23632,14711,7576,2942,1146
AR_V_014,68042,34699,33343,11778,11799,10533,11432,11286,6065,3344,1288,516
AR_W,1067110,518718,548392,194096,202557,162866,138457,133163,98639,72043,43716,21574
AR_W_007,39223,19235,19988,7307,7780,5746,5094,4906,3603,2705,1386,695
AR_W_014,2855,1445,1410,579,619,377,338,314,245,202,122,60
AR_W_021,378152,179781,198371,61210,67745,65665,52285,49483,36353,24047,14611,6754
AR_W_028,24878,12583,12295,5131,5450,3218,2884,2742,2116,1754,1061,522
AR_W_035,47157,23239,23918,8293,8877,6045,5887,5819,4607,4045,2298,1287
AR_W_042,15679,7702,7977,2754,2956,2143,1993,1964,1364,1148,902,455
AR_W_049,31037,15097,15940,6062,6119,4168,3825,3743,2790,2520,1072,739
AR_W_056,7751,3865,3886,1619,1479,988,938,920,635,627,320,224
AR_X,3617549,1747262,1870286,558558,550986,540907,514230,468562,358763,313120,204305,108117
AR_Y,746787,365768,381019,135504,143558,113793,110682,89496,64491,48125,28657,12481
AR_Z,408140,208130,200010,77783,66743,70382,69091,54927,34132,19920,10764,4398
AT,8782137,4301596,4480541,848356,836236,1128900,1220603,1167919,1363912,993310,755903,466999
AT_11,295327,145416,149911,28529,28134,37947,41039,39343,45796,33447,25414,15678
AT_12,3556618,1730996,1825622,343566,338669,457238,494361,473015,552342,402225,306118,189085
AT_13,1850182,891126,959056,178713,176172,237886,257160,246021,287378,209221,159244,98387
AT_21,557810,272986,284825,53883,53114,71706,77529,74179,86636,63088,48010,29664
AT_22,1244347,613791,630556,120202,118485,159950,172950,165482,193262,140744,107098,66173
AT_31,1442506,712532,729974,139326,137346,185449,200485,191801,224062,163142,124165,76729
AT_32,546864,266508,280356,52812,52062,70291,75996,72700,84953,61864,47077,29108
AT_33,747512,366641,380871,72198,71172,96098,103890,99389,116113,84543,64343,39766
AT_34,391038,192670,198368,37829,37243,50206,54336,51994,60730,44244,33667,20790
AU,19048768,9404227,9644541,2463633,2343386,2525713,2761355,2466803,2327929,1991270,1383255,785424
AU_ACT,356806,176305,180501,45583,43088,58938,57611,46459,42158,32932,19519,10519
AU_NSW,7263875,3574702,3689173,938735,881888,940938,1057207,926122,891012,767057,545017,315898
AU_NT,210096,108481,101615,33939,29361,34700,36051,28608,24263,14939,6300,1936
AU_QLD,4319519,2139450,2180068,586188,557304,568861,622769,561829,521937,452026,293993,154611
AU_SA,1593592,784045,809548,189052,190500,200305,210462,205357,204168,181736,130413,81598
AU_TAS,494233,241748,252485,61252,61723,54798,60475,62697,67387,61183,42183,22537
AU_VIC,5345659,2624470,2721188,671291,639964,730553,790719,696559,642591,548670,394771,230541
AU_WA,2231902,1120500,1111402,295102,280867,313166,332725,298450,272067,218222,144695,76609
AW,114157,54135,60022,12254,15025,16066,12059,15306,18453,14754,7466,2775
AZ,10205503,5025338,5180165,1679522,1347195,1625993,1784550,1292261,1288615,805218,241705,140443
BA,3336551,1623886,1712665,310238,334975,447798,466919,468175,482149,439084,235536,151676
BB,289431,137580,151851,35410,37378,35539,36926,38370,39565,34686,21070,10487
BD,165610481,83280638,82329843,30838836,30661782,30141445,25865391,19498377,15155528,7419301,3816113,2213708
BD_01,499640,262887,236753,115493,93882,89583,75365,53215,42130,17825,8223,3924
BD_13,15962341,8753546,7208795,2249713,2875420,3933331,2943196,1881246,1264072,502994,208536,103833
BD_56,674618,355922,318696,129925,125903,123299,109702,78297,61342,26918,13050,6182
BD_C,45269942,23486810,21783132,7592167,8173138,9472921,7536229,5328696,3940120,1832448,890566,503657
BE,11604757,5702988,5901769,1309010,1304397,1425423,1509628,1511528,1596206,1356690,930360,661515
BF,22770984,11018371,11752613,6999232,5471315,3944948,2699385,1735924,1054029,571645,244767,49738
BG,6918819,3351152,3567667,655111,653833,694174,949958,1047906,944255,931376,703449,338757
BH,2332399,1499009,833391,294092,242601,452179,668087,353726,196754,92453,24476,8031
BI,11333031,5602232,5730798,3700529,2533688,1893093,1403139,754579,538026,351006,121442,37527
BJ,13027049,6361753,6665296,4071961,3007739,2214775,1564658,981442,604449,352113,173463,56449
BM,66846,32322,34524,7430,7680,8063,7719,7253,10229,9484,5676,3313
BN,466264,239658,226606,69931,68708,75175,82001,72067,53546,30821,10382,3633
BO,11881760,5924894,5956866,2450537,2333147,2084670,1700383,1274596,870692,612273,361649,193812
BO_B,477101,245844,231257,114894,101373,81267,64355,47746,30429,20043,11250,5742
BO_C,2061816,1014487,1047329,423721,406810,365969,286304,215207,151490,109470,66113,36732
BO_H,626309,307201,319107,134774,128322,101782,80116,62527,44756,35791,23485,14755
BO_L,3105494,1532535,1572959,578346,576974,523619,458919,361613,250921,183688,111309,60104
BO_N,199849,108012,91837,49186,43060,38181,29314,19241,11092,6092,2685,1000
BO_O,598314,295487,302827,121001,110288,105263,84982,63033,47842,34014,20517,11375
BO_P,941087,465428,475659,211474,187983,141860,118965,93808,71915,56993,36051,22038
BO_S,3287223,1664888,1622335,704340,666871,622675,489322,346264,218287,135379,71842,32241
BO_T,584761,291115,293646,112835,111501,104077,88135,65184,43979,30817,18405,9828
BQ,31546,15971,15575,3788,3565,3771,4747,4191,5594,3259,1975,657
BR,206579011,100677173,105901838,28173516,30373980,33212323,33653135,28753843,23591235,16285335,8499340,4036303
BR_AC,972300,486451,485850,199377,186453,169475,150848,107155,76648,48034,22931,11379
BR_AL,3477106,1671217,1805890,580793,600881,567078,548829,438150,329966,237324,118178,55908
BR_AM,4369068,2195303,2173765,874886,819413,763252,706900,496973,344899,210620,104625,47500
BR_AP,943411,471796,471615,187152,181617,174870,154618,106753,70215,39456,19301,9428
BR_BA,15285698,7466087,7819611,2220670,2384558,2564127,2484955,1995976,1565146,1132999,605890,331376
BR_CE,9673942,4682508,4991434,1386174,1597878,1612238,1505696,1267059,945398,725153,409867,224478
BR_CE_230010,13194,6563,6631,2058,2369,2089,1909,1451,1197,1180,610,331
BR_CE_230015,18258,9042,9217,2686,3248,2909,2559,2330,1883,1334,809,500
BR_CE_230020,67317,34266,33051,11371,12849,11113,9997,7677,5363,5072,2483,1393
BR_CE_230030,55637,27747,27891,7456,8236,8484,8620,7019,6284,4962,3187,1389
BR_CE_230040,18186,9101,9085,2893,3262,2572,2380,2089,1930,1674,838,548
BR_CE_230050,12235,6035,6199,1824,2201,2040,1583,1410,1089,1019,631,437
BR_CE_230060,8074,3995,4079,1227,1401,1290,1197,861,644,714,461,278
BR_CE_230070,17539,8785,8754,2330,2794,2833,2455,2248,1872,1543,851,613
BR_CE_230075,46880,23552,23328,8064,8753,7940,6644,5098,3937,3240,1937,1268
BR_CE_230080,7552,3738,3813,1108,1258,1059,1004,962,715,740,475,232
BR_CE_230090,15962,7938,8024,2474,2831,2403,2242,1945,1549,1246,883,388
BR_CE_230100,88747,44580,44167,13354,15044,15849,15064,11948,7595,5693,2895,1303
BR_CE_230110,76569,38135,38434,10434,12399,13122,12083,10720,7273,6089,2971,1477
BR_CE_230120,26923,13489,13435,3617,4845,3879,3938,3451,2712,2405,1321,755
BR_CE_230125,11327,5591,5736,1637,1842,1463,1516,1369,1297,1134,675,394
BR_CE_230130,21820,10473,11347,3808,4098,3197,2968,2377,1872,1724,1115,661
BR_CE_230140,10881,5522,5359,1701,1956,1736,1535,1257,952,789,613,343
BR_CE_230150,7952,3979,3973,1261,1422,1126,1045,915,845,732,368,239
BR_CE_230160,23926,11841,12085,3509,3987,3360,3188,3044,2258,2340,1505,735
BR_CE_230170,23947,11664,12283,2920,3752,3146,3398,2896,2382,2808,1471,1174
BR_CE_230180,6297,3126,3171,863,985,869,919,805,667,577,404,207
BR_CE_230185,18182,9077,9105,2712,3275,2858,2461,2222,1859,1404,845,547
BR_CE_230190,65049,30816,34233,9193,10582,10939,9716,8333,6288,5378,3040,1580
BR_CE_230195,22578,11181,11397,3319,4018,3589,3158,2881,2333,1655,1004,622
BR_CE_230200,23161,11410,11751,3107,3712,3305,3584,2793,1918,2620,1639,483
BR_CE_230205,14313,7187,7127,2256,2663,2353,2127,1720,1249,1073,531,342
BR_CE_230210,37646,18628,19018,5674,6741,5841,5491,4770,3643,2837,1825,824
BR_CE_230220,56165,27684,28481,7446,9459,8376,8545,7269,5274,4864,3043,1889
BR_CE_230230,33263,16755,16507,5178,6328,5569,4360,3796,3222,2862,1164,783
BR_CE_230240,54758,27203,27555,8492,9515,7663,7028,6610,5713,5042,3117,1580
BR_CE_230250,52749,25131,27618,6981,9569,8389,8839,6239,4646,4086,2382,1619
BR_CE_230260,65199,32740,32459,10282,12135,10715,9683,7833,5687,4887,2418,1557
BR_CE_230270,27749,13320,14430,4845,5213,4064,3774,3022,2380,2192,1419,841
BR_CE_230280,79887,39730,40157,12983,14756,12020,10521,9522,7338,6572,3826,2350
BR_CE_230290,18474,9372,9103,2884,3321,2947,2607,2139,1621,1340,1037,579
BR_CE_230300,25703,13109,12594,3873,4688,4197,3629,3048,2611,1824,1280,554
BR_CE_230310,18516,9282,9234,2631,3317,2498,2532,2339,1980,1663,941,615
BR_CE_230320,27318,13337,13982,4205,4847,3963,3733,3193,2529,2360,1586,903
BR_CE_230330,18519,9166,9353,2713,3083,2598,2464,2360,1754,1815,1166,568
BR_CE_230340,18439,8990,9449,2942,3448,2481,2480,2254,1914,1454,986,480
BR_CE_230350,76033,37640,38393,10543,12791,12217,12225,10074,6744,5718,3649,2073
BR_CE_230360,22226,11087,11139,2981,3294,3387,3442,2802,2510,1982,1273,555
BR_CE_230365,10593,5331,5263,1509,1905,1385,1427,1332,1150,974,551,360
BR_CE_230370,415337,201076,214261,63874,73647,73473,68737,57134,36825,23676,12302,5669
BR_CE_230380,25095,12340,12756,3610,3766,3962,3023,2772,3126,2460,1473,903
BR_CE_230390,12651,6343,6309,1991,2338,2083,1887,1522,1108,949,473,301
BR_CE_230393,13699,6839,6861,2046,2470,2155,1853,1673,1398,1056,636,412
BR_CE_230395,19116,9512,9604,2848,3362,3531,3160,2453,1612,1111,641,398
BR_CE_230400,24211,12128,12082,3606,4670,3875,3228,2698,2599,1609,1220,708
BR_CE_230410,74860,36535,38325,10406,12136,10375,11132,9885,7928,6617,4021,2360
BR_CE_230420,141389,66978,74411,19978,22997,23771,21113,18116,13668,11694,6613,3439
BR_CE_230423,18679,9110,9569,2970,3491,2512,2510,2290,1946,1467,1004,490
BR_CE_230425,26559,13518,13041,4482,5070,4384,3942,3029,2119,2004,980,550
BR_CE_230426,9850,4927,4922,1318,1572,1253,1360,1334,1091,962,600,358
BR_CE_230427,7343,3678,3665,1059,1200,1146,989,882,803,610,372,282
BR_CE_230428,64341,32147,32194,9593,10803,11506,10928,8706,5592,4147,2113,953
BR_CE_230430,17779,8682,9097,2739,3157,2577,2428,2077,1642,1538,1033,588
BR_CE_230435,27140,13031,14109,3799,4660,5014,4310,3628,2347,1728,995,659
BR_CE_230440,2750053,1273042,1477011,347362,400036,495140,469804,399255,291182,194708,101719,50848
BR_CE_230445,17934,8932,9003,2444,2904,3072,2831,2510,1703,1427,697,346
BR_CE_230450,14145,6850,7295,2316,2463,2228,2016,1689,1362,1005,726,340
BR_CE_230460,7951,3951,4000,1236,1407,1198,1106,964,779,622,442,196
BR_CE_230465,15572,7637,7935,2659,2824,2170,2068,1823,1514,1342,758,416
BR_CE_230470,57293,29260,28033,10155,11769,8699,7471,6509,4865,4259,2368,1199
BR_CE_230480,3819,1856,1962,547,635,534,508,482,405,348,240,120
BR_CE_230490,11791,5665,6126,1651,2026,2171,1869,1575,1023,755,435,288
BR_CE_230495,29245,14407,14838,4697,5056,5396,4833,3753,2451,1605,1005,447
BR_CE_230500,40453,19724,20730,6434,7561,5440,5444,4954,4210,3178,2175,1057
BR_CE_230510,3327,1684,1643,518,600,530,470,385,292,242,187,105
BR_CE_230520,20798,10265,10533,3002,3363,2688,2797,2511,2383,2082,1245,725
BR_CE_230523,90099,44837,45262,13427,15843,16670,14917,11565,7581,5223,3006,1868
BR_CE_230526,13147,6564,6583,1961,2368,2068,1780,1606,1343,1014,611,395
BR_CE_230530,25531,12894,12637,4005,4604,4151,3186,2946,2595,2111,1283,651
BR_CE_230533,13588,6874,6714,1812,2069,2030,2050,1790,1459,1174,785,419
BR_CE_230535,19913,9917,9996,2715,3223,3413,3144,2789,1891,1583,773,383
BR_CE_230540,69203,33926,35277,10683,11098,10480,10275,8798,6318,6167,3485,1899
BR_CE_230550,108653,52311,56342,14712,15219,17647,17037,14153,12110,9943,5210,2622
BR_CE_230560,25863,12775,13088,3732,4230,3286,3803,3309,2863,2317,1517,806
BR_CE_230565,11164,5509,5654,1610,1805,1442,1502,1348,1280,1120,668,389
BR_CE_230570,12575,6242,6334,1717,1965,1737,1835,1608,1335,1158,804,416
BR_CE_230580,41634,20671,20963,6614,6986,5959,5741,5184,4409,2908,2453,1381
BR_CE_230590,37220,18446,18774,5702,7291,4829,4161,4711,4048,3436,1802,1240
BR_CE_230600,14331,7179,7152,1907,2285,2315,2004,1833,1530,1260,696,503
BR_CE_230610,25847,13066,12782,4588,4523,4287,3686,2461,2392,2077,1080,753
BR_CE_230620,8286,4101,4185,1062,1387,1387,1204,1127,867,694,298,260
BR_CE_230625,44184,21778,22406,7068,7621,8148,7321,5690,3708,2444,1513,671
BR_CE_230630,56777,28420,28357,8959,10464,9045,9244,6292,5043,3679,2562,1489
BR_CE_230640,144151,72421,71730,24786,26913,24413,20426,15680,12108,9964,5960,3900
BR_CE_230650,21301,10635,10666,3180,3839,3353,2883,2601,2174,1641,990,641
BR_CE_230655,45665,23245,22420,7716,8716,7538,6789,5207,3631,3436,1687,944
BR_CE_230660,22979,11427,11552,3735,4245,3456,3025,2739,2110,1891,1100,676
BR_CE_230670,17815,8912,8903,2389,2852,2274,2456,2411,1970,1734,1082,647
BR_CE_230680,12374,6199,6175,1645,1972,1996,1730,1584,1321,1090,602,434
BR_CE_230690,33878,16706,17172,4833,5407,4597,4609,4426,3932,3227,1537,1310
BR_CE_230700,34856,17247,17609,4460,5840,5832,5050,4735,3660,2922,1246,1110
BR_CE_230710,26809,12703,14106,3792,4362,4504,4000,3433,2591,2219,1255,653
BR_CE_230720,8184,4006,4178,1227,1368,1298,1208,892,776,725,437,252
BR_CE_230725,22100,11249,10851,3732,4218,3648,3285,2521,1759,1664,816,457
BR_CE_230730,293931,139868,154064,43182,49098,51643,46534,35894,27709,21250,12268,6353
BR_CE_230740,25180,12598,12581,3564,4037,3829,3117,2976,2923,2629,1427,677
BR_CE_230750,30855,15317,15538,4228,4828,4263,4498,3939,3272,2830,1980,1016
BR_CE_230760,64035,31522,32513,8809,9248,9803,10492,9616,6533,5459,2421,1654
BR_CE_230763,21967,10854,11113,3367,3966,3231,2995,2715,2230,1758,1081,624
BR_CE_230765,254687,123601,131086,37809,42448,46344,42104,34982,22883,15541,8266,4310
BR_CE_230770,143996,70011,73985,21466,24135,26183,23747,19768,12855,8761,4636,2445
BR_CE_230780,29710,15209,14501,6190,5548,5189,4351,3257,2065,1637,898,574
BR_CE_230790,11892,5892,6000,1947,2311,1920,1638,1292,1056,949,473,305
BR_CE_230800,42011,20975,21036,7002,8204,6617,6342,4730,3618,2948,1867,682
BR_CE_230810,45872,22592,23280,7137,8644,7012,7248,5361,3841,3328,2197,1103
BR_CE_230820,16480,8133,8347,2468,2974,2743,2146,1898,1464,1364,846,577
BR_CE_230830,29740,14267,15473,4619,4653,4827,4644,3412,2605,2750,1616,613
BR_CE_230835,13038,6522,6516,1745,2083,1657,1798,1767,1443,1275,795,475
BR_CE_230837,12551,6302,6249,2154,2341,2126,1782,1367,1055,868,519,339
BR_CE_230840,36614,18230,18384,5703,6611,5793,5283,4027,3329,3262,1679,928
BR_CE_230850,44441,21851,22589,6958,7251,6125,5753,5561,4682,3950,2605,1556
BR_CE_230860,17142,8516,8626,2660,2978,2399,2199,2069,1788,1578,976,494
BR_CE_230870,59913,30300,29613,7988,9120,8953,9047,7898,6428,5178,3454,1847
BR_CE_230880,9194,4556,4639,1504,1786,1485,1267,999,818,732,366,236
BR_CE_230890,23970,12282,11688,4167,4389,3931,2869,2696,2225,2101,944,648
BR_CE_230900,14392,6838,7554,2154,2349,1914,1840,1812,1497,1445,908,473
BR_CE_230910,14253,7235,7019,2228,2562,2275,2012,1646,1246,1033,804,449
BR_CE_230920,16908,8363,8545,2568,2933,2705,2510,1804,1350,1494,962,582
BR_CE_230930,33102,16337,16765,4785,5358,4282,4441,4001,3785,3315,1982,1154
BR_CE_230940,28824,14317,14507,3715,5185,3882,4097,3892,3200,2477,1592,784
BR_CE_230945,26941,13498,13443,3614,4840,3883,3949,3457,2711,2407,1324,757
BR_CE_230950,20539,10351,10188,2540,2923,2989,2876,2715,2604,2376,1087,429
BR_CE_230960,86481,43035,43446,12888,15209,16001,14314,11098,7277,5012,2886,1795
BR_CE_230970,98609,48496,50114,15700,16977,18181,16309,12770,8322,5475,3355,1520
BR_CE_230980,12049,5870,6178,1784,2257,1838,1696,1392,1102,912,651,416
BR_CE_230990,6363,3020,3343,953,1037,842,813,802,662,642,402,210
BR_CE_231000,9566,4714,4852,1269,1610,1431,1456,1239,898,828,515,320
BR_CE_231010,14610,7115,7495,2164,2728,2246,2070,1699,1334,1097,777,496
BR_CE_231020,36218,18370,17848,5243,6371,5833,5971,4542,3108,2518,1687,945
BR_CE_231025,35193,17852,17341,5096,6190,5669,5800,4413,3020,2445,1641,919
BR_CE_231030,30152,14533,15619,4260,5426,3998,3902,3758,3072,2427,2020,1290
BR_CE_231040,11569,5754,5815,1879,2136,1742,1525,1379,1064,950,555,339
BR_CE_231050,42951,20681,22269,5926,7357,6167,5823,4818,4273,4343,2606,1637
BR_CE_231060,9498,4649,4849,1432,1585,1510,1403,1038,898,839,505,290
BR_CE_231070,39253,19785,19469,5732,7305,5854,6691,5230,3011,2894,1843,691
BR_CE_231080,16302,8161,8141,2356,2664,2541,2196,1956,1783,1356,827,624
BR_CE_231085,22489,11136,11353,3123,3783,3620,3620,2981,1993,1687,1074,608
BR_CE_231090,18211,9084,9127,2441,2697,2775,2820,2297,2057,1624,1044,455
BR_CE_231095,11966,5940,6026,1900,2007,1713,1650,1488,1263,839,706,399
BR_CE_231100,12308,6007,6301,1712,1996,1706,1829,1624,1304,1088,661,388
BR_CE_231110,14594,7143,7451,2186,2441,2316,2155,1592,1384,1292,778,449
BR_CE_231120,11566,5723,5842,1697,1928,1622,1539,1473,1093,1132,728,355
BR_CE_231123,6506,3259,3247,865,1036,1051,910,833,694,572,316,228
BR_CE_231126,21587,10663,10924,3114,3531,2742,3175,2763,2390,1934,1266,673
BR_CE_231130,93365,46612,46753,13930,16820,14692,12637,11404,9541,7197,4335,2809
BR_CE_231135,14554,7011,7543,1970,2040,2362,2282,1895,1622,1331,700,351
BR_CE_231140,87432,43200,44232,13395,15783,12860,11920,10809,8875,7001,4302,2486
BR_CE_231150,22519,11141,11379,2886,3764,3764,3271,3064,2362,1888,806,715
BR_CE_231160,27824,13777,14047,4093,4952,4422,3892,3548,2873,2039,1238,765
BR_CE_231170,18010,8818,9191,2759,3110,2490,2401,2101,1733,1663,1096,657
BR_CE_231180,85192,41521,43672,11778,13685,14684,13573,11352,7734,6895,3173,2318
BR_CE_231190,15374,7694,7680,2443,2755,2175,2014,1767,1633,1416,710,463
BR_CE_231195,16782,8055,8727,2931,3153,2458,2283,1827,1439,1325,857,508
BR_CE_231200,33944,16874,17069,5737,6417,5012,5319,3435,2882,2733,1666,741
BR_CE_231210,17721,8401,9320,2506,2884,2970,2640,2270,1712,1471,834,433
BR_CE_231220,43164,21719,21444,6144,7760,5646,5822,5425,4688,3968,2244,1465
BR_CE_231230,49006,24043,24963,8375,8900,6835,6507,5736,4767,4210,2376,1300
BR_CE_231240,53303,26784,26520,7752,9656,8486,8841,6558,4772,4091,2035,1113
BR_CE_231250,7237,3660,3577,964,1101,1082,1092,954,778,626,417,224
BR_CE_231260,13077,6555,6522,2091,2381,2201,1794,1567,1060,995,634,354
BR_CE_231270,25780,12651,13129,3353,4193,3546,3553,3470,2546,3044,1395,681
BR_CE_231280,8524,4226,4298,1402,1656,1378,1176,926,754,676,338,218
BR_CE_231290,228086,109527,118559,31938,39170,42125,36211,30478,19727,14530,8367,5539
BR_CE_231300,18457,9233,9224,2471,2948,2346,2545,2502,2044,1804,1125,673
BR_CE_231310,31592,15128,16465,3648,4835,4523,5067,4999,3602,2950,1140,829
BR_CE_231320,24718,12221,12497,4045,4291,3526,2847,3233,2337,2130,1459,850
BR_CE_231325,8687,4300,4387,1273,1447,1218,1156,1107,821,851,547,266
BR_CE_231330,59814,29085,30729,8407,9736,8411,8280,7380,6344,5879,3208,2169
BR_CE_231335,20825,10424,10400,3288,3836,3317,3389,2305,1852,1352,939,546
BR_CE_231340,82164,40999,41165,14270,15432,14464,12782,8941,7472,4726,2627,1450
BR_CE_231350,57813,29690,28123,9150,11062,9377,7826,6445,5512,4320,2482,1638
BR_CE_231355,17753,8900,8853,2843,3233,2990,2433,2124,1440,1349,860,482
BR_CE_231360,37305,18083,19222,6111,6505,5889,5318,4447,3590,2648,1903,894
BR_CE_231370,7664,3805,3860,1051,1200,1059,1118,979,812,703,492,252
BR_CE_231375,20601,10326,10274,3296,3751,3467,2828,2466,1670,1565,1000,559
BR_CE_231380,23779,11919,11859,3807,4330,4005,3260,2845,1927,1806,1153,645
BR_CE_231390,14519,7194,7324,2377,2822,2344,2000,1578,1289,1158,578,372
BR_CE_231395,18511,9065,9446,2831,3196,2557,2467,2158,1780,1717,1128,678
BR_CE_231400,42429,20613,21816,6058,7036,5921,5629,5372,4531,3879,2676,1327
BR_CE_231410,66024,33087,32937,11553,13876,10092,9052,7126,5544,4332,2817,1632
BR_CE_FOR,2750053,1273042,1477011,347362,400036,495140,469804,399255,291182,194708,101719,50848
BR_DF,3224905,1533728,1691178,438477,457051,578279,612089,469224,335338,204890,93021,36537
BR_ES,4013033,1964959,2048074,519527,561750,654196,669014,577923,487798,303478,162151,77195
BR_GO,7315627,3615671,3699956,1008302,1067774,1219814,1298402,1048662,793469,521583,256394,101227
BR_MA,7772623,3850480,3922143,1422697,1394858,1358733,1142605,865287,684071,505640,269845,128887
BR_MG,21631741,10602282,11029459,2657958,3041880,3363217,3459371,3132373,2678225,1841314,992917,464486
BR_MS,2936700,1461013,1475688,420146,444798,470816,478946,421150,331815,211952,108679,48400
BR_MT,3842381,1965532,1876849,572043,596558,648014,674488,549425,398909,245785,114722,42438
BR_PA,9679026,4897148,4781878,1815437,1757729,1722227,1559551,1106057,812618,540466,256931,108009
BR_PB,4152941,1991698,2161242,599191,625633,663475,647240,545519,421101,342035,196792,111954
BR_PE,9851606,4702445,5149161,1447256,1522918,1602715,1591301,1295866,1016008,764351,403286,207906
