key,all,male,female,age_00_09,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_and_older
PE_HUV_0116,3078,1495,1583,708,640,481,382,310,246,170,94,46
PE_HUV_0117,39817,19343,20474,9182,8289,6205,4940,4013,3180,2197,1212,600
PE_HUV_0118,16002,7773,8229,3682,3328,2496,1987,1612,1280,884,489,242
PE_HUV_0119,7758,3831,3927,1864,1577,1053,960,847,627,458,244,127
PE_HUV_0201,11356,5566,5790,2792,2438,1687,1368,1175,835,596,302,163
PE_HUV_0202,6961,3412,3549,1710,1491,1031,839,721,515,367,187,101
PE_HUV_0203,11557,5664,5894,2845,2480,1716,1391,1195,851,607,308,166
PE_HUV_0204,2944,1443,1501,724,632,438,355,304,216,154,78,42
PE_HUV_0205,2597,1273,1324,640,554,382,313,269,193,138,70,38
PE_HUV_0206,57944,28401,29544,14235,12450,8628,6984,5990,4254,3034,1539,831
PE_HUV_0207,4075,1997,2078,1002,876,606,491,421,299,213,108,58
PE_HUV_0208,9441,4628,4813,2321,2027,1403,1138,977,694,495,251,136
PE_HUV_0301,29342,14285,15058,7746,5901,3879,3314,3044,2408,1722,883,444
PE_HUV_0302,9659,4703,4956,2545,1946,1281,1093,1002,791,566,290,146
PE_HUV_0303,823,401,422,216,166,110,93,85,67,48,25,12
PE_HUV_0304,3370,1641,1730,883,679,450,383,349,276,197,101,51
PE_HUV_0305,7875,3835,4041,2072,1584,1047,894,817,645,461,236,119
PE_HUV_0306,4661,2269,2392,1230,938,617,527,483,382,273,140,70
PE_HUV_0307,1836,894,942,485,369,243,207,190,151,108,55,28
PE_HUV_0308,2581,1257,1324,681,519,341,292,268,212,151,78,39
PE_HUV_0309,2406,1171,1235,635,484,318,272,250,197,141,72,36
PE_HUV_0310,17107,8328,8779,4516,3441,2262,1932,1775,1404,1004,514,259
PE_HUV_0311,4238,2063,2175,1116,852,563,481,440,348,248,127,64
PE_HUV_0312,5134,2499,2635,1356,1033,678,580,533,421,301,154,78
PE_HUV_0401,3420,1787,1632,677,559,421,448,444,332,277,172,89
PE_HUV_0402,1439,753,686,285,234,177,189,187,140,117,73,38
PE_HUV_0403,2336,1221,1115,462,381,287,306,304,227,190,117,61
PE_HUV_0404,1411,738,673,279,230,174,185,184,137,115,71,37
PE_HUV_0405,1384,723,661,273,226,171,182,180,134,112,70,36
PE_HUV_0406,941,492,449,186,153,116,123,122,91,77,47,25
PE_HUV_0407,1683,880,803,333,274,207,220,219,164,137,85,44
